headword	grammar	genitive	etymology
ἀνάρρηξις	ἡ	εως	ἀναρρήγνυμι
ἀνάρρησις	ἡ	εως	
ἀνάρρῑνον	τό		
ἀναρρί̆χ-ησις	ἡ	εως	
ἀνάρριψις	ἡ	εως	
ἀναρροή	ἡ		
ἀνάρροια	ἡ		
ἀναρροίβδ-ησις	ἡ	εως	
ἀναρροπ-ία	ἡ		
ἀνάρροπ-ος	ον		
ἀνάρρους	ὁ	ου	
ἀναρρόφ-ημα	τό	ατος	
ἀναρρόφ-ησις	ἡ	εως	
ἀνά-ρρῠμα	τό	ατος	
ἀνά-ρρῠσις	ἡ	εως	
ἀνάρρωσις	ἡ	εως	
ἀνάρσιος	ον		
ἀνάρτ-ησις	ἡ	εως	
ἀνάρτιος	ον		
ἀνάρτῡτος	ον		
ἀνάρῠσις	ἡ	εως	
ἀναρχ-ία	ἡ		
ἄναρχ-ος	ον		
ἀνασάξιμον	τό		
ἀνασεισίφαλλος	ον		
ἀνά-σεισις	ἡ	εως	
ἀνά-σεισμα	τό	ατος	
ἀνα-σεισμός	ὁ		
ἀνάσηψις	ἡ	εως	
ἀνάσιλλος	ον		
ἀνά-σῑμος	ον		
ἀνασίτησις	ἡ	εως	
ἀνα-σκᾰφή	ἡ		
ἀνασκευ-ασμός	ὁ		
ἀνασκευ-ή	ἡ		
ἀνασκηθής	ές		
ἀνασκ-ησία	ἡ		
ἀνάσκ-ητος	ον		
ἀνασκολόπ-ῐσις	ἡ	εως	
ἀνα-σκοπή	ἡ		
ἀνά-σπασις	ἡ	εως	
ἀνά-σπασμα	τό	ατος	
ἀνα-σπαστήριος	ον		
ἄνασπις	ὁ	ιδος	
ἄνασσα	ἡ		ϝάνασσα Inscr.Cypr.101 H., al.
ἀνάσσῠτος	ον		ἀνασεύω
ἀνάσταλ-σις	ἡ	εως	
ἀνάσταμα	τό	ατος	
ἀνά-στᾰσις	ἡ		
ἀνα-στᾰτήρ	ὁ	ῆρος	
ἀνα-στάτης	ὁ	ου	
ἀνά-στᾰτος	ον		ἀνίσταμαι
ἀναστά̆τ-ωσις	ἡ	εως	
ἀνασταύρ-ωσις	ἡ	εως	
ἀν-άστειος	ον		
ἀνάστειρος	ον		στεῖρα
ἀναστέριστος	ον		
ἀνάστερος	ον		
ἀναστήλ-ωσις	ἡ	εως	
ἀνάστημα	τό	ατος	ἀνίσταμαι
ἀναστοιχεί-ωσις	ἡ	εως	
ἀναστολή	ἡ		
ἀναστόμ-ωσις	ἡ	εως	
ἀναστομ-ωτήριος	ον		
ἀναστοφάγος	ον		
ἀναστρᾰτοπεδ-εία	ἡ		
ἀνά-στρεμμα	τό	ατος	
ἀναστρολόγητος	ον		
ἄναστρος	ον		
ἀνα-στροφή	ἡ		
ἀνα-στροφία	ἡ		
ἀνα-στρόφιος	ον		
ἀνα-στρόφισμα	τό	ατος	
ἀνά-στροφος	ον		
ἀναστρωπή	ἡ		
ἀνασύν-ταξις	ἡ	εως	
ἀνασυρτόλις	ἡ	εως	
ἀνά-σφαλσις	ἡ	εως	
ἀνάσφορον	τό		
ἀνά-σχεσις	ἡ	εως	ἀνέχομαι
ἀνά-σχῐσις	ἡ	εως	
ἀνά-σωσμα	τό	ατος	
ἀνα-σωσμός	ὁ		
ἀνάταξις	ἡ	εως	
ἀνάτᾰσις	ἡ	εως	ἀνατείνω
ἀνατειχ-ισμός	ὁ		
ἀνατεταμένον	τό		
ἀνά-τηξις	ἡ	εως	
ἀνα-τῐναγμός	ὁ		
ἀνά-τλημα	τό	ατος	
ἀνατοκισμός	ὁ		
ἀνατόλιος	ον		
ἀνα-τομή	ἡ		
ἀνάτονος	ον		ἀνατείνω
ἄνᾱτος	ον		ἄτη
ἀνάτρεψις	ἡ	εως	
ἀνά-τρησις	ἡ	εως	ἀνατιτράω
ἀνά-τρητος	ον		
ἀνατριακοσιολόγιστος	ον		
ἀνα-τρῐβή	ἡ		
ἀνάτριμμα	τό	ατος	
ἀνά-τριπτος	ον		
ἀνά-τρῐχος	ον		θρίξ
ἀνάτριψις	ἡ	εως	
ἀνατροπ-εύς	ὁ	έως	
ἀνατροπ-ή	ἡ		
ἀνάτροπ-ος	ον		
ἀνατροφ-εύς	ὁ	έως	
ἀνατροφ-ή	ἡ		
ἀνατροχ-ασμός	ὁ		
ἀνατύπ-ωμα	τό	ατος	
ἀνατύπ-ωσις	ἡ	εως	
ἀναύγητος	ον		
ἀναυδ-ής	ές		
ἀναύδ-ητος	ον		
ἀναυδ-ία	ἡ		
ἄναυδ-ος	ον		
ἄναυλος	ον		
ἄναυλος	ον		αὐλίον
ἀναυλόχητος	ον		
ἀναυμάχ-ητος	ον		
ἀναυξ-ής	ές		
ἀναυξ-ησία	ἡ		
ἀναύξ-ητος	ον		
ἀναυξ-ία	ἡ		
ἄναυξ-ος	ον		
ἄναυος	ον		
ἄναυρος	ον		
Ἄναυρος	ὁ		
ἄναυς	ὁ		
ἀναυτούργητος	ον		
ἀναύχην	ὁ	ενος	
ἀναφαίρετος	ον		
ἀναφάλακρος	ον		
ἀναφαλαντ-ίας	ὁ	ου	
ἀναφαλαντ-ίασις	ἡ	εως	
ἀναφάλαντ-ος	ον		
ἀναφαλάντ-ωμα	τό	ατος	
ἀνάφαν-σις	ἡ	εως	
ἀνά-φευξις	ἡ	εως	
ἀναφής	ές		ἁφή
ἀνά-φθεγμα	τό	ατος	
ἀνά-φθεγξις	ἡ	εως	
ἀνα-φλασμός	ὁ		
ἀνά-φλεξις	ἡ	εως	
ἀναφορ-ά	ἡ		ἀναφέρομαι
ἀναφορ-εύς	ὁ		
ἀναφόρ-ιον	τό		
ἀνάφορον	τό		
ἀναφροδῑ-σία	ἡ		
ἀναφρόδῑ-τος	ον		
ἄναφρος	ον		
ἀναφῠγή	ἡ		ἀναφεύγω
ἀναφύησις	ἡ	εως	
ἀνάφυξις	ἡ	εως	
ἀναφύ̄σ-ημα	τό	ατος	
ἀναφύ̄σ-ησις	ἡ	εως	
ἀνάφῠσις	ἡ	εως	
ἀναφων-ή	ἡ		
ἀναφών-ημα	τό	ατος	
ἀναφών-ησις	ἡ	εως	
ἀναφων-ητής	ὁ	οῦ	
ἀναχαίτ-ισις	ἡ	εως	
ἀναχαίτ-ισμα	τό	ατος	
ἀναχᾰλ-ασμός	ὁ		
ἀναχαρ-ᾰγή	ἡ		
ἀναχάρ-αξις	ἡ	εως	
ἀναχοή	ἡ		ἀναχέω
ἀνάχρεμ-ψις	ἡ	εως	
ἀναχρον-ισμός	ὁ		
ἀνά-χρωσις	ἡ	εως	
ἀνάχυλις	ἡ	εως	
ἀνάχῠμα	τό	ατος	
ἀναχύρωτος	ον		
ἀνάχῠσις	ἡ	εως	ἀναχέω
ἀνά-χωμα	τό	ατος	
ἀνα-χωμᾰτισμός	ὁ		
ἀναχών-ευσις	ἡ	εως	
ἀνά-χωσις	ἡ	εως	
ἀναχώρ-ημα	τό	ατος	
ἀναχώρ-ησις	ἡ		
ἀναχωρ-ητής	ὁ	οῦ	
ἀνάχωσμα	τό	ατος	
ἀνά-ψησις	ἡ	εως	
ἀνα-ψησμός	ὁ		
ἀναψηλά̆φ-ησις	ἡ	εως	
ἄναψις	ἡ	εως	ἀνάπτω
ἀνα-ψυκτήρ	ὁ	ῆρος	
ἀνά-ψυξις	ἡ	εως	
ἀνα-ψῠχή	ἡ		
ἀνδαβάτης	ὁ	ου	
ἄνδαλτος	ον		
ἀνδηρευτής	ὁ	οῦ	
ἄνδηρον	τό		
ἀνδίκτης	ὁ	ου	ἀναδικεῖν
ἀνδοκ-εία	ἡ		
ἀνδοκ-ιάρχης	ὁ	ου	
ἀνδραγάθ-ημα	τό	ατος	
ἀνδραγάθ-ησις	ἡ	εως	
ἀνδραγαθ-ία	ἡ		
ἄνδρ-αγχος	ὁ		
ἀνδρ-άδελφος	ὁ		
ἀνδρ-ᾰκάς	ἡ	άδος	
ἀνδρ-αλογία	ἡ		
ἀνδραπόδ-ιον	τό		
ἀνδραπόδ-ισις	ἡ	εως	
ἀνδραποδ-ισμός	ὁ		
ἀνδραποδ-ιστήριος	ον		
ἀνδραποδ-ιστής	ὁ	οῦ	
ἀνδρᾰποδο-κάπηλος	ὁ		
ἀνδρᾰποδο-κλέπτης	ὁ	ου	
ἀνδρᾰποδο-κλόπος	ὁ		
ἀνδράποδον	τό		
ἀνδραποδ-ωδία	ἡ		
ἀνδραποδ-ώνης	ὁ	ου	
ἀνδραποδ-ωνία	ἡ		
ἀνδράριον	τό		
ἀνδραφόνος	ὁ		
ἀνδραχθής	ές		
ἀνδράχλη	ἡ		
ἄνδραχλος	ἡ		
ἀνδράχνη	ἡ		
ἄνδραχνος	ἡ		
ἀνδρεία	ἡ		
ἀνδρ-είκελον	τό		
ἀνδρ-είκελος	ον		
ἀνδρεῖος	ον		
ἀνδρειότης	ἡ	ητος	
ἀνδρει-φόντης	ὁ	ου	
ἀνδρεί-ωμα	τό	ατος	
ἀνδρει-ών	ὁ	ῶνος	
ἀνδρεράστρια	ἡ		
ἀνδρηλά̆τ-ης	ὁ	ου	
ἀνδριαντ-άριον	τό		
ἀνδριαντ-ίδιον	τό		
ἀνδριάντ-ιον	τό		
ἀνδριαντ-ίσκος	ὁ		
ἀνδριαντο-γλύφος	ὁ		
ἀνδριαντο-ειδής	ές		
ἀνδριαντο-εργάτης	ὁ	ου	
ἀνδριαντο-θήκη	ἡ		
ἀνδριαντο-πλάστης	ὁ	ου	
ἀνδριαντο-πλαστική	ἡ		sc. τέχνη
ἀνδριαντο-ποιΐα	ἡ		
ἀνδριαντο-ποιϊκή	ἡ		sc. τέχνη
ἀνδριαντο-ποιός	ὁ		
ἀνδριαντ-ουργία	ἡ		
ἀνδριαντ-ουργός	ὁ		ἔργον
ἀνδριάς	ὁ		
ἀνδρίον	τό		
ἀνδρίς	ἡ	ίδος	
ἄνδρ-ισμα	τό	ατος	
ἀνδρ-ισμός	ὁ		
ἀνδρο-βάμων	ὁ	ονος	
ἀνδρο-βᾰρής	ές		
ἀνδρο-βασμός	ὁ		
ἀνδρο-βάτης	ὁ	ου	
ἀνδρό-βῐος	ον		
ἀνδρο-βόρος	ον		
ἀνδρό-βουλος	ον		
ἀνδρο-βρώς	ὁ	ῶτος	
ἀνδρό-γαμος	ὁ		
ἀνδρο-γένεια	ἡ		γένος
ἀνδρο-γίγας	ὁ	αντος	
ἀνδρο-γόνος	ον		
ἀνδρο-γύνης	ὁ	ου	
ἀνδρο-γῠνία	ἡ		
ἀνδρό-γῠνος	ὁ		
ἀνδρο-δάϊκτος	ον		
ἀνδρο-δάμας	ὁ	αντος	
ἀνδρό-δομος	ὁ		
ἀνδρο-ελής	ές		ἑλεῖν
ἀνδρο-θέα	ἡ		
ἀνδρό-θηλυς	ὁ	υδος	
ἀνδρο-θνής	ὁ	ῆτος	
ἀνδρο-κάπηλος	ὁ		
ἀνδρο-κάπραινα	ἡ		
ἀνδρό-κλας	ὁ	α	
ἀνδρο-κμής	ὁ	ῆτος	
ἀνδρό-κμητος	ον		
ἀνδρο-κόβᾱλος	ὁ		
ἀνδρο-κογχυλευτής	ὁ	οῦ	
ἀνδρο-κόνος	ον		
ἀνδρο-κόρινθος	ὁ		
ἀνδρο-κτᾰσία	ἡ		κτείνω
ἀνδρο-κτάστης	ὁ		
ἀνδρο-κτονεῖον	τό		
ἀνδρο-κτόνος	ον		κτείνω
ἀνδρό-λαλος	ον		
ἀνδρ-ολέτειρα	ἡ		
ἀνδρο-λήμη	ἡ		λῆμα
ἀνδρο-ληψία	ἡ		
ἀνδρο-λήψιον	τό		
ἀνδρο-λογεῖον	τό		
ἀνδρο-μᾰνής	ές		
ἀνδρο-μάχος	ον		
Ἀνδρομέδα	ἡ	ας	
ἀνδρόμεος	ον		ἀνήρ
ἀνδρο-μηκιαῖος	ον		
ἀνδρόμορφος	ον		
ἄνδρομος	ον		
ἀνδρό-παις	ὁ	αιδος	
ἀνδρο-πλήθεια	ἡ		
ἀνδρό-πορνος	ὁ		
ἀνδρο-πρόσωπος	ον		
ἀνδρό-πρῳρος	ον		πρῷρα
ἀνδρο-σάθων	ὁ		σάθη
ἀνδρόσαιμον	τό		αἷμα
ἀνδρόσακες	τό	ους	
ἀνδρό-σῐνις	ὁ	ιος	
ἀνδρό-στροφος	ον		
ἀνδροσύνη	ἡ		
ἀνδρο-σφᾰγεῖον	τό		
ἀνδρό-σφιγξ	ὁ	ιγγος	
ἀνδρο-σώτειρα	ἡ		
ἀνδροτής	ἡ	ῆτος	
ἀνδρο-τῠχής	ές		
ἀνδρο-φάγος	ον		
ἀνδρο-φθόρος	ον		
ἀνδρο-φονεύς	ὁ	έως	
ἀνδρο-φονία	ἡ		
ἀνδρο-φόνος	ον		
ἀνδρο-φόντης	ὁ	ου	
ἀνδρό-φρων	ὁ	ονος	
ἀνδρο-φυής	ές		
ἀνδρο-φυκτίς	ἡ	ίδος	
ἀνδρ-ών	ὁ	ῶνος	
ἀνδρ-ώνιον	τό		
ἀνδρ-ωνῖτις	ἡ	ιδος	
ἀνδρ-ωνῠμικόν	τό		sc. ὄνομα
ἀνδρ-ωνύμιον	τό		
ἀνδρ-ῷος	ον		
ἀ-νέαστος	ον		
ἀνεγγάρευτος	ον		
ἀνέγγραφος	ον		
ἀνέγγυος	ον		
ἀνεγ-έρμων	ον		
ἀνέγ-ερσις	ἡ	εως	
ἀνέγ-ερτος	ον		
ἀνεγκάλυπτος	ον		
ἀνεγκαρτέρητος	ον		
ἀνεγκέφαλος	ον		
ἀνεγκλη-σία	ἡ		
ἀνέγκλη-τος	ον		
ἀνέγκλῐτος	ον		
ἀνεγκωμίαστος	ον		
ἀνεγχώρητος	ον		
ἀνεδάφιστος	ον		
ἀνέδραστος	ον		
ἀνέεδνος	ον		
ἀνεθέλητος	ον		
ἀνέθιστος	ον		
ἀνείδεος	ον		εῖδος
ἀνειδωλόπληκτος	ον		
ἀνειδωλοποί-ησις	ἡ	εως	
ἀνεικαιότης	ἡ	ητος	
ἀνείκαστος	ον		
ἀνεικής	ές		
ἀνεικία	ἡ		
ἀνεικόνιστος	ον		
ἄνεικος	ον		
ἀνειλείθυια	ἡ		
ἀνείλ-ημα	τό	ατος	
ἀνείλ-ησις	ἡ	εως	
ἀνείλιξις	ἡ	εως	
ἀνείλυστος	ον		
ἀνείμων	ον		εἷμα
ἄνειρξις	ἡ	εως	
ἀνείσακτος	ον		
ἀνεισοδίαστος	ον		
ἀνείσοδος	ον		
ἀνείσπρακτος	ον		
ἀνεισφορ-ία	ἡ		
ἀνείσφορ-ος	ον		
ἀνέκ-βᾰτος	ον		
ἀνεκ-βίαστος	ον		
ἀνέκ-δαρτος	ον		
ἀνεκ-δήμητος	ον		
ἀνεκ-διήγητος	ον		
ἀνεκ-δίκητος	ον		
ἀνέκ-δρομος	ον		
ἀνέκ-δυτος	ον		
ἀνεκ-θέρμαντος	ον		
ἀνέκ-θῠτος	ον		
ἀνεκ-καρτέρητος	ον		
ἀνεκ-κλησίαστος	ον		
ἀνεκ-κλησίαστος	ον		
ἀνέκ-κλῐτος	ον		
ἀνέκ-κρῐτος	ον		
ἀνεκ-λάλητος	ον		
ἀνέκ-λειπτος	ον		
ἀνέκ-λεκτος	ον		
ἀνεκ-λῐπής	ές		
ἀνέκ-λῠτος	ον		
ἀνέκ-νιπτος	ον		
ἀνέκ-πληκτος	ον		
ἀνεκ-πληξία	ἡ		
ἀνεκ-πλήρωτος	ον		
ἀνέκ-πλῠτος	ον		
ἀνεκ-ποίητος	ον		
ἀνεκ-πραξία	ἡ		
ἀνεκ-πύητος	ον		
ἀνέκ-πυστος	ον		
ἀνεκτέος	ον		sc. ἐστι τάδε
ἀνέκτιτος	ον		
ἀνέκτομος	ον		
ἀνεκτότης	ἡ	ητος	
ἀνέκ-τριπτος	ον		
ἀνέκ-φαντος	ον		v.l. ἀνέκ-φατος
ἀνέκ-φευκτος	ον		
ἀνεκ-φοίτητος	ον		
ἀνέκ-φορος	ον		
ἀνέκ-φραστος	ον		
ἀνεκ-χύμωτος	ον		
ἀνέλαιος	ον		
ἀνέλατος	ον		
ἀνελάττωτος	ον		
ἀνέλεγ-κτος	ον		
ἀνελεγ-ξία	ἡ		
ἀνελεήμων	ον		
ἀνελεής	ές		
ἀνελέητος	ον		
ἀνέλεος	ον		
ἀνελευθερ-ία	ἡ		
ἀνελευθέρ-ιος	ον		
ἀνελευθερ-ιότης	ἡ	ητος	
ἀνελεύθερ-ος	ον		
ἀνέλ-ιγμα	τό	ατος	
ἀνέλ-ικτος	ον		
ἀνέλ-ιξις	ἡ	εως	
ἀνελκής	ές		
ἄνελκτος	ον		
ἀνέλκυστος	ον		
ἀνέλκωσις	ἡ	εως	ἀνελκόομαι
ἀνέλκωτος	ον		
ἀνέλλειπτος	ον		
ἀνέλλην	ὁ	ηνος	
ἀνελλήνιστος	ον		
ἀνελλῐπής	ές		
ἄνελπις	ὁ	ιδος	
ἀνελπιστ-ία	ἡ		
ἀνέλπιστ-ος	ον		
ἀνέλυτρος	ον		
ἀνεμαφέτης	ὁ	ου	
ἀνέμβᾰτος	ον		
ἀνεμέσητος	ον		νέμεσις
ἀν-έμετος	ον		
ἀνέμητος	ον		
ἀνεμ-ία	ἡ		ἄνεμος
ἀνεμ-ιαῖος	ον		
ἀνέμ-ιος	ον		
ἀνεμό-δαρτος	ον		
ἀνεμό-δρομος	ον		
ἀνεμο-επάκτης	ὁ	ου	
ἀνεμο-ζάλη	ἡ		
ἀνεμο-μᾰχία	ἡ		
ἄνεμος	ὁ		
ἀνεμο-σκεπής	ές		
ἀνεμό-στροφος	ον		
ἀνεμό-συρις	ἡ	ιδος	
ἀνεμο-σφάρᾰγος	ον		
ἀνεμο-τρᾰφής	ές		
ἀνεμο-τρεφής	ές		
ἀνεμούριον	τό		οὖρος
ἀνεμο-φθορία	ἡ		
ἀνεμό-φθορος	ον		
ἀνεμό-φοιτος	ον		
ἀνεμο-φόρητος	ον		
ἀνέμ-πληκτος	ον		
ἀνέμ-πληστος	ον		
ἀνεμ-πόδιστος	ον		
ἀνεμ-πόλητος	ον		
ἀνέμ-πτωτος	ον		
ἀνεμ-φάνιστος	ον		
ἀνέμ-φαντος	ον		
ἀνέμ-φᾰτος	ον		
ἀνεμ-ώλιος	ον		
ἀνεμ-ώνη	ἡ		
ἀνεμ-ωνίς	ἡ	ίδος	
ἀνεμώτας	ὁ	α	
Ἀνεμῶτις	ἡ	ιδος	
ἀνεν-δεής	ές		
ἀνέν-δεκτος	ον		
ἀνέν-δετος	ον		
ἀνεν-δοίαστος	ον		
ἀνέν-δοτος	ον		
ἀνέν-δῠτος	ον		
ἀνενεργ-ής	ές		
ἀνενεργ-ησία	ἡ		
ἀνενέργ-ητος	ον		
ἀνένεργ-ος	ον		
ἀνενεχύραστος	ον		
ἀνεν-θουσίαστος	ον		
ἀνεν-θύμητος	ον		
ἀνεν-νόητος	ον		
ἀνεν-όχλητος	ον		
ἀνέν-τᾰτος	ον		
ἀνέν-τευκτος	ον		
ἀνεν-τρεχής	ές		
ἀνέν-τροπος	ον		
ἀνεξ-άκουστος	ον		
ἀνεξ-άλειπτος	ον		
ἀνεξ-άλλακτος	ον		
ἀνεξ-αλλοτρίωτος	ον		
ἀνεξ-ᾰπᾰτησία	ἡ		
ἀνεξ-ᾰπάτητος	ον		
ἀνεξ-ᾰρίθμητος	ον		
ἀνεξ-έλεγκτος	ον		
ἀνεξ-έλευστος	ον		
ἀνεξ-έλικτος	ον		
ἀνεξ-έργαστος	ον		
ἀνεξ-ερεύνητος	ον		Hellenistic ἀνεξεραύνητος
ἀνεξ-έταστος	ον		
ἀνεξ-εύρετος	ον		
ἀνεξ-ήγητος	ον		
ἀνεξία	ἡ		
ἀνεξῐκᾰκ-ία	ἡ		
ἀνεξί̆κᾰκ-ος	ον		
ἀνεξίκμαστος	ον		
ἀνεξῐκώμη	ἡ		
ἀνεξ-ίλαστος	ον		
ἀνεξ-ίτηλος	ον		
ἀνεξ-ίτητος	ον		
ἀνεξ-ιχνίαστος	ον		
ἀνεξ-όδευτος	ον		
ἀνεξ-οδίαστος	ον		
ἀνέξ-οδος	ον		
ἀνέξ-οιστος	ον		
ἀνεξ-ούσιος	ον		
ἀνεόρτ-αστος	ον		
ἀνέορτ-ος	ον		
ἀνεοστᾰσίη	ἡ		
ἀνεπ-άγγελτος	ον		
ἀνεπ-αίσθητος	ον		
ἀνεπ-άϊστος	ον		
ἀνεπ-αίσχυντος	ον		
ἀνεπ-αιτίᾱτος	ον		
ἀνέπ-ακτος	ον		
ἀνεπ-άλλακτος	ον		
ἀνεπ-άνακτος	ον		
ἀνεπ-ανόρθωτος	ον		
ἀνεπ-αύξητος	ον		
ἀνέπᾰφος	ον		
ἀνεπαφρο-δῑσία	ἡ		
ἀνεπαφρό-δῑτος	ον		
ἀνεπαχθής	ές		
ἀνεπ-είσακτος	ον		
ἀνεπ-έκτᾰτος	ον		
ἀνεπ-έλευστος	ον		
ἀνεπ-εξέργαστος	ον		
ἀνεπ-εξήγητος	ον		
ἀνεπ-έρειστος	ον		
ἀνεπ-ερώτητος	ον		
ἀνεπ-ηρέαστος	ον		
ἀνεπής	ές		
ἀνεπι-βάρητος	ον		
ἀνεπι-βᾰσία	ἡ		ἀ- priv.
ἀνεπί-βᾰτος	ον		
ἀνεπί-βλητος	ον		
ἀνεπι-βούλευτος	ον		
ἀνεπί-βουλος	ον		
ἀνεπι-γνώμων	ον		
ἀνεπί-γνωστος	ον		
ἀνεπί-γρᾰφος	ον		
ἀνεπι-δάνειστος	ον		
ἀνεπι-δεής	ές		
ἀνεπί-δεικτος	ον		
ἀνεπί-δεκτος	ον		
ἀνεπί-δετος	ον		
ἀνεπί-δηκτος	ον		
ἀνεπί-δηλος	ον		
ἀνεπί-δῐκος	ον		
ἀνεπι-δόκητος	ον		
ἀνεπί-δοτος	ον		
ἀνεπι-είκεια	ἡ		
ἀνεπι-εικής	ές		
ἀνεπι-ζητησία	ἡ		
ἀνεπι-ζήτητος	ον		
ἀνεπί-θετος	ον		
ἀνεπι-θεώρητος	ον		
ἀνεπι-θόλωτος	ον		
ἀνεπι-θύμητος	ον		
ἀνεπί-καυτος	ον		
ἀνεπι-κέλευστος	ον		
ἀνεπι-κηρύκευτος	ον		
ἀνεπι-κλήρωτος	ον		
ἀνεπί-κλητος	ον		
ἀνεπί-κλῐτος	ον		
ἀνεπί-κλυστος	ον		
ἀνεπι-κοινώνητος	ον		
ἀνεπι-κόρριστος	ον		
ἀνεπι-κούρητος	ον		
ἀνεπί-κρῐτος	ον		
ἀνεπί-κρυπτος	ον		
ἀνεπι-κώλῡτος	ον		
ἀνεπί-λειπτος	ον		
ἀνεπί-ληπτος	ον		
ἀνεπί-ληστος	ον		
ἀνεπι-λόγιστος	ον		
ἀνεπί-λυτος	ον		
ἀνεπι-μέλητος	ον		
ἀνεπί-μικτος	ον		
ἀνεπι-μιξία	ἡ		
ἀνεπί-μονος	ον		
ἀνεπι-μώμητος	ον		
ἀνεπι-νοησία	ἡ		
ἀνεπι-νόητος	ον		
ἀνεπί-ξεστος	ον		
ἀνεπί-πλαστος	ον		
ἀνεπί-πλεκτος	ον		
ἀνεπί-πληκτος	ον		
ἀνεπι-πληξία	ἡ		
ἀνεπι-πρόσθητος	ον		
ἀνεπί-ρρεκτος	ον		ῥέζω
ἀνεπι-σήμαντος	ον		
ἀνεπί-σκεπτος	ον		
ἀνεπί-σκευος	ον		
ἀνεπι-σκεψία	ἡ		
ἀνεπι-σκίαστος	ον		
ἀνεπι-σκόπητος	ον		
ἀνεπί-σκοπος	ον		
ἀνεπι-σκότητος	ον		
ἀνεπι-σταθμεία	ἡ		
ἀνεπι-στάθμευτος	ον		
ἀνεπι-στᾰσία	ἡ		
ἀνεπι-στάτητος	ον		
ἀνεπί-στᾰτος	ον		ἐφίστημι
ἀνεπι-στημοσύνη	ἡ		
ἀνεπι-στήμων	ον		
ἀνεπί-στητος	ον		
ἀνεπί-στρεπτος	ον		
ἀνεπι-στρεφής	ές		
ἀνεπι-στρεψία	ἡ		
ἀνεπι-στρόφητος	ον		
ἀνεπί-στροφος	ον		
ἀνεπι-σφᾰλής	ές		
ἀνεπί-σχετος	ον		
ἀνεπί-τακτος	ον		
ἀνεπί-τᾰτος	ον		
ἀνεπι-τετελεσμένος	ον		
ἀνεπι-τευξία	ἡ		
ἀνεπι-τέχνητος	ον		
ἀνεπι-τηδειότης	ἡ	ητος	
ἀνεπι-τήδευτος	ον		
ἀνεπι-τίμητος	ον		
ἀνεπί-τμητος	ον		
ἀνεπι-τρόπευτος	ον		
ἀνεπι-φανής	ές		
ἀνεπί-φαντος	ον		
ἀνεπί-φᾰτος	ον		
ἀνεπι-φθόνητος	ον		
ἀνεπί-φθονος	ον		
ἀνεπί-φραστος	ον		
ἀνεπι-χαρής	ές		
ἀνεπι-χείρητος	ον		
ἀνεπ-όπτευτος	ον		
ἀνέπ-οπτος	ον		
ἀνεπ-όψιος	ον		
ἀνεραστ-ία	ἡ		
ἀνέραστ-ος	ον		
ἀνεργ-ασία	ἡ		
ἀνέργ-αστος	ον		
ἀνέργ-εια	ἡ		
ἀνεργ-ία	ἡ		
ἄνεργ-ος	ον		
ἀνέρεικτος	ον		
ἀνερευθής	ές		
ἀνερεύν-ησις	ἡ	εως	
ἀνερεύν-ητος	ον		
ἀνερίθευτος	ον		
ἀνερίναστος	ον		
ἀνερίνεος	ον		
ἀνερκής	ές		
ἀνερμάτιστος	ον		
ἀνερμήνευτος	ον		
ἀνερυθρίαστος	ον		
ἀνεσία	ἡ		
ἀνέσιμος	ον		ἀνίημι
ἀνέστιος	ον		
ἀνέταιρος	ον		
ἀνετεροίωτος	ον		
ἀνέτοιμος	ον		
ἄνετος	ον		ἀνίημι
ἀνετῠμολόγητος	ον		
ἀνέτῠμος	ον		
ἀνευ-δοκησία	ἡ		
ἀνευ-δόκητος	ον		
ἀνευ-ένδοτος	ον		
ἀνευ-ήκοος	ον		
ἀνεύθετος	ον		
ἀνεύθῡνος	ον		
ἀνεύθυντος	ον		
ἄνευκτος	ον		
ἀνευλᾰβής	ές		
ἀνευνοησία	ἡ		
ἀνευόδωτος	ον		
ἀνευπρεπής	ές		
ἀνεύρ-εσις	ἡ	εως	
ἀνευρ-ετής	ὁ	οῦ	
ἀνεύρετος	ον		
ἀνεύρ-ημα	τό	ατος	
ἄνευρος	ον		
ἀνεύρ-υνσις	ἡ	εως	
ἀνεύρ-υσμα	τό	ατος	
ἀνευρ-υσμός	ὁ		
ἀνευφρ-ανσία	ἡ		
ἀνεύφρ-αντος	ον		
ἀνευφρόσυνος	ον		
ἀνέφαπτος	ον		
ἀνέφεδρος	ον		
ἀνέφελος	ον		
ἄνεφθος	ον		
ἀνέφικτος	ον		
ἀνεφόδευτος	ον		
ἀνέφοδος	ον		
ἀνεχέγγυος	ον		
ἀνέψ-ᾰνος	ον		ἕψω
ἀνέψ-ητος	ον		
ἀνεψι-ά	ἡ		
ἀνεψι-ᾰδῆ	ἡ		
ἀνεψι-άδης	ὁ	ου	
ἀνεψι-ᾰδοῦς	ὁ	οῦ	
ἀνεψι-ός	ὁ		
ἀνεψι-ότης	ἡ	ητος	
ἄνη	ἡ		ἄνω
ἀνηβ-ητήριος	ον		
ἄνηβ-ος	ον		
ἀνηβ-ότης	ἡ	ητος	
ἀνηγεμόνευτος	ον		
ἀνήδονος	ον		
ἀνήδυντος	ον		
ἀνήδυστος	ον		
ἀνηθέλαιον	τό		
ἀνηθίκευτος	ον		
ἀνήθ-ινος	ον		
ἀνηθ-οειδής	ές		
ἄνηθον	τό		
ἀνηθοποίητος	ον		
ἀνήκεστος	ον		ἀκέομαι
ἀνηκής	ές		ἄκος
